name,soq_2011,incentive_2011,catergorical_2011,lottery_2011,total_2011,soq_2012,incentive_2012,catergorical_2012,lottery_2012,total_2012,soq_2013,incentive_2013,catergorical_2013,lottery_2013,total_2013,soq_2014,incentive_2014,catergorical_2014,lottery_2014,total_2014
Cumberland County,4818.03,136.75,71.91,612.86,5641.24,4878.91,173.45,9.9,644.86,5723.32,4888.24,313.44,17.62,843.03,6123.23,5286.7,606.82,10.08,850.14,6812.71
Danville City,4986.09,74.44,153.58,918.26,6135.42,4959.52,142.49,147.97,933.29,6197.72,4900.56,188.94,151.61,982.83,6235.99,5248.63,83.32,166.38,1028.89,6558.82
Dickenson County,5458.21,172.19,13.17,438.33,6081.9,5371.38,154.6,12.11,597.1,6136.31,5358.79,254.25,11.41,630.78,6255.23,5514.79,115.41,10.89,497.14,6140.36
Dinwiddie County,5138.6,110.98,40.8,348.97,5644.21,5205.8,119.14,41.21,443.79,5818.4,5182.21,277.42,47.23,463.45,5973.13,5385.18,141.51,55.9,471.98,6055.82
Essex County,3935.28,366.48,8.29,693.88,5004.78,4375.62,141.69,10.86,514.33,5047.32,4411.48,209.46,9.95,542.19,5187.51,4937.66,116.11,14.42,595.28,5672.62
Fairfax County,2572.2,61.61,19.51,127.2,2786.33,2901.63,65.04,22.04,159.91,3154.48,2862.22,97.28,18.67,168.56,3152.48,2998.22,42.01,19.24,172.86,3237.43
Falls Church City,2144.42,85.51,3.59,53.66,2302.07,2144.42,79.51,3.98,61.38,2307.98,2091.1,95.46,3.31,61.61,2278.27,2170.03,62.88,2.48,58.43,2331.91
Fauquier County,3196.66,102.03,7.31,106.08,3419.61,3804.76,106.44,7.18,147.26,4073.63,3784.06,155.64,7.15,144.93,4101.51,3834.68,25.84,5.91,142.51,4029.27
Floyd County,4739.83,137.65,7.94,326.62,5213.27,5007.43,148.43,7.65,368.67,5540.7,4811.11,207.02,8.64,392.76,5425.18,5342.3,139.72,8.19,464.93,5955.14
Fluvanna County,4103.68,248.78,6.9,361.44,4741.29,4247.65,177.44,6.46,358.13,4794.13,4261.66,378.7,7.53,352.61,5002.92,4736.45,153.02,5.9,363.44,5264.04
Franklin City,4661.44,152.03,11.82,1235.71,6097.86,4969.32,179.37,7.76,1406.51,6666.23,4918.04,363.73,9.35,1453.61,6843.64,5511.58,228.09,18.36,1341.33,7222.88
Franklin County,4167.22,63.18,47.74,453.72,4786.69,4304.83,129.32,33.83,447.3,5006.6,4322.96,194.49,34.88,460.91,5065.83,4517.49,71.38,33.45,611.34,5278.19
